,Symbol,Div,AD,ED,RD
20269,TSI,0.0825,2019-06-14,2019-06-27,2019-06-28
20270,TSI,0.0768,2019-03-15,2019-03-28,2019-03-29
20271,TSI,0.129,2018-12-17,2018-12-28,2018-12-31
20272,TSLX,0.41,2020-08-04,2020-09-14,2020-09-15
20273,TSN,0.42,2020-05-08,2020-08-31,2020-09-01
20274,TSN,0.42,2020-02-05,2020-05-29,2020-06-01
20275,TSN,0.42,2019-11-11,2020-02-27,2020-02-28
20276,TSN,0.42,2019-08-08,2019-11-27,2019-11-29
20277,TSN,0.375,2019-05-09,2019-08-29,2019-08-30
20278,TSN,0.375,2019-02-06,2019-05-30,2019-05-31
20279,TSN,0.375,2018-11-12,2019-02-28,2019-03-01
20280,TSN,0.375,2018-11-12,2018-11-29,2018-11-30
20281,TT,0.53,2020-06-05,2020-09-03,2020-09-04
20282,TT,0.53,2020-04-08,2020-06-04,2020-06-05
20283,TTAI,0.51465475,2019-12-27,2019-12-30,2019-12-31
20284,TTAI,0.20479334,2018-12-27,2018-12-28,2018-12-31
20285,TTEK,0.17,2020-07-29,2020-08-20,2020-08-21
20286,TTEK,0.17,2020-04-27,2020-05-12,2020-05-13
20287,TTEK,0.15,2020-01-27,2020-02-11,2020-02-12
20288,TTEK,0.15,2019-11-11,2019-11-29,2019-12-02
20289,TTEK,0.15,2019-07-29,2019-08-13,2019-08-14
20290,TTEK,0.15,2019-04-29,2019-05-14,2019-05-15
20291,TTEK,0.12,2019-01-28,2019-02-12,2019-02-13
20292,TTEK,0.12,2018-11-05,2018-11-29,2018-11-30
20293,TTT,,2020-01-29,2020-06-24,2020-06-25
20294,TUR,0.152136,2019-12-13,2020-06-15,2020-06-16
20295,TUR,0.300498,2018-12-26,2019-12-16,2019-12-17
20296,TUR,0.591813,2018-12-26,2019-06-17,2019-06-18
20297,TUR,0.07636,2017-12-29,2018-12-18,2018-12-19
20298,TUSA,0.0752,2020-09-23,2020-09-24,2020-09-25
20299,TUSA,0.1088,2020-06-24,2020-06-25,2020-06-26
20300,TUSA,0.1033,2020-03-25,2020-03-26,2020-03-27
20301,TUSA,0.1226,2019-12-12,2019-12-13,2019-12-16
20302,TUSA,0.1278,2019-09-24,2019-09-25,2019-09-26
20303,TUSA,0.0787,2019-06-13,2019-06-14,2019-06-17
20304,TUSA,0.0786,2019-03-20,2019-03-21,2019-03-22
20305,TUSA,0.1179,2018-01-09,2018-12-18,2018-12-19
20306,TV,0.088596,2019-05-20,2019-05-29,2019-05-30
20307,TW,0.08,2020-07-28,2020-08-31,2020-09-01
20308,TW,0.08,2020-05-06,2020-05-29,2020-06-01
20309,TW,0.08,2020-02-12,2020-02-28,2020-03-02
20310,TW,0.08,2019-11-07,2019-11-29,2019-12-02
20311,TW,0.08,2019-08-07,2019-08-30,2019-09-03
20312,TW,0.08,2019-05-09,2019-05-30,2019-06-01
20313,TWI,0.005,2020-03-13,2020-03-30,2020-03-31
20314,TWI,0.005,2019-12-13,2019-12-30,2019-12-31
20315,TWI,0.005,2019-09-09,2019-09-27,2019-09-30
20316,TWI,0.005,2019-06-12,2019-06-27,2019-06-28
20317,TWI,0.005,2019-03-13,2019-03-28,2019-03-29
20318,TWI,0.005,2018-12-10,2018-12-28,2018-12-31
20319,TWN,1.4695,2019-12-17,2019-12-27,2019-12-30
20320,TWO,0.14,2020-09-21,2020-09-30,2020-10-01
20321,TWO,0.05,2020-04-06,2020-04-15,2020-04-16
20322,TWO,0.4,2019-12-17,2019-12-30,2019-12-31
20323,TWO,0.4,2019-09-19,2019-09-27,2019-09-30
20324,TWO,0.4,2019-06-19,2019-06-28,2019-07-01
20325,TWO,0.47,2019-03-19,2019-03-28,2019-03-29
20326,TWO,0.47,2018-12-18,2018-12-28,2018-12-31
20327,TXN,0.9,2020-07-16,2020-07-30,2020-07-31
20328,TXN,0.9,2020-04-23,2020-05-01,2020-05-04
20329,TXN,0.9,2020-01-16,2020-01-30,2020-01-31
20330,TXN,0.9,2019-10-17,2019-10-30,2019-10-31
20331,TXN,0.77,2019-07-18,2019-07-30,2019-07-31
20332,TXN,0.77,2019-04-25,2019-05-03,2019-05-06
20333,TXN,0.77,2019-01-17,2019-01-30,2019-01-31
20334,TXN,0.77,2018-10-18,2018-10-30,2018-10-31
20335,TXT,0.02,2020-07-27,2020-09-10,2020-09-11
20336,TXT,0.02,2020-04-29,2020-06-11,2020-06-12
20337,TXT,0.02,2020-02-26,2020-03-12,2020-03-13
20338,TXT,0.02,2019-10-23,2019-12-12,2019-12-13
20339,TXT,0.02,2019-07-23,2019-09-12,2019-09-13
20340,TXT,0.02,2019-04-24,2019-06-13,2019-06-14
20341,TXT,0.02,2019-02-27,2019-03-14,2019-03-15
20342,TXT,0.02,2018-10-24,2018-12-13,2018-12-14
20343,TYG,0.3,2020-07-08,2020-07-23,2020-07-24
20344,TYG,0.655,2019-11-04,2019-11-21,2019-11-22
20345,TYG,0.655,2019-08-08,2019-08-22,2019-08-23
20346,TYG,0.655,2019-05-06,2019-05-23,2019-05-24
